Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3
round_3,phase3,6,1,D1_6,2,0.01628844219012532,6.131074467259203e-11,0.9837115575726426,1.7592137649007188e-10
round_3,phase2,6,1,D1_6,1,0.0005192564035881167,0.978326449769526,0.00011324086003418746,0.02104105296685289
round_3,phase1,6,1,D1_6,3,6.584143161850497e-08,4.8070074864904576e-27,4.5524966786600895e-11,0.9999999341130441
round_2,phase3,6,1,D1_6,3,0.004624831436770515,0.005646219272397006,0.00012301983722845685,0.9896059294536044
round_2,phase2,6,1,D1_6,1,0.0012811763252741758,0.8499509741287103,0.01931573226069855,0.12945211728531686
round_2,phase1,6,1,D1_6,1,0.008913144866516806,0.9824911162432094,0.00574713911936069,0.00284859977091449
round_4,phase3,6,1,D1_6,1,0.002344451277386575,0.8626476935471851,0.045902102122089006,0.08910575305333894
round_4,phase2,6,1,D1_6,1,0.007669489344590676,0.78080496811828,0.07100551974698482,0.14052002279014342
round_4,phase1,6,1,D1_6,1,0.0017192008375628862,0.963987056710853,3.060446297757744e-05,0.034263137988606335
round_1,phase3,6,1,D1_6,1,0.09569312118406373,0.8889163309632161,0.0009992089797122646,0.014391338873007881
round_1,phase2,6,1,D1_6,2,0.05329362909681617,2.0169802594454642e-08,0.9467015772039252,4.773529454442649e-06
round_1,phase1,6,1,D1_6,3,0.06681606653457187,0.34808797824996957,0.0026847842172000127,0.582411170998257
round_3,phase3,7,1,D1_1,0,0.9682043310496736,0.00011450711375695273,4.148667789113323e-08,0.03168112034989036
round_3,phase2,7,1,D1_1,3,0.008037285595187339,0.01522615797714155,4.1820821894576624e-05,0.9766947356057765
round_3,phase1,7,1,D1_1,3,0.0008225251122764054,0.007543930379077056,0.00013326839331257015,0.9915002761153326
round_2,phase3,7,1,D1_1,3,0.011123966851791268,0.00012986704335115324,0.0006822617201967119,0.9880639043846595
round_2,phase2,7,1,D1_1,3,0.00011524322000093008,2.9893815237624764e-12,0.012035067168850581,0.9878496896081592
round_2,phase1,7,1,D1_1,1,0.025266583650263488,0.9528003366942408,0.0001408673620272958,0.0217922122934697
round_4,phase3,7,1,D1_1,1,0.003099668902140246,0.6612006480017074,0.017054891789976392,0.3186447913061746
round_4,phase2,7,1,D1_1,1,0.0016824817474883867,0.5087822899093823,0.4755154682848578,0.014019760058270898
round_4,phase1,7,1,D1_1,3,0.013284319032912393,0.00918240899023879,0.3010313935654592,0.6765018784113911
round_1,phase3,7,1,D1_1,0,0.9999769386304291,5.346565950391546e-06,1.56821443556633e-05,2.0326592669579437e-06
round_1,phase2,7,1,D1_1,2,1.922869913710094e-05,5.301418036013639e-09,0.9999479128087028,3.285319074385706e-05
round_1,phase1,7,1,D1_1,0,0.9987087161614472,2.5882588370273615e-12,0.0012912838140940245,2.187370813481514e-11
round_3,phase3,8,0,D1_1,2,0.094669165744353,0.03911490967573044,0.8606182935363423,0.005597631043572972
round_3,phase2,8,0,D1_1,3,0.3364814871172394,3.146697599038848e-05,0.0738623799397735,0.5896246659669974
round_3,phase1,8,0,D1_1,3,0.0010929322939211208,9.074026073695288e-09,1.0248501427607387e-10,0.9989070585295692
round_2,phase3,8,0,D1_1,0,0.7584599922260576,0.02246921214494297,3.5485846477458606e-05,0.2190353097825214
round_2,phase2,8,0,D1_1,1,0.012311740200895304,0.8723448951769157,0.09970633405549069,0.015637030566698108
round_2,phase1,8,0,D1_1,1,0.019235066790807907,0.918201705866959,1.6497369012001224e-05,0.06254672997322071
round_4,phase3,8,0,D1_1,1,0.010372579312531636,0.9878915889446206,6.792657576529694e-05,0.0016679051670839763
round_4,phase2,8,0,D1_1,2,0.001654205435436785,6.644435204932738e-05,0.9982373435356618,4.2006676851609785e-05
round_4,phase1,8,0,D1_1,1,0.0006335766918843117,0.9950337643101876,0.00030468131372509793,0.00402797768420295
round_1,phase3,8,0,D1_1,3,0.01426832442337277,7.230860964040797e-08,0.0052690936750048045,0.9804625095930143
round_1,phase2,8,0,D1_1,2,1.9913486377170494e-06,1.951889763984396e-18,0.9997785775764988,0.00021943107486231637
round_1,phase1,8,0,D1_1,0,0.9715583173303641,1.546145395169293e-05,3.669250364595819e-05,0.028389528712037364
round_3,phase3,9,1,D1_1,1,9.410410401017223e-05,0.9873082491993561,0.005047105270126417,0.007550541426507933
round_3,phase2,9,1,D1_1,2,0.00617253170437936,0.00039928304679462905,0.9899935334466086,0.003434651802218787
round_3,phase1,9,1,D1_1,2,2.478756532480646e-06,8.902701770602052e-15,0.926899073163324,0.07309844808013465
