Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2
round_3,phase3,20,0,D1_2,0,0.8609966542749938,0.016534024069674868,0.12246932165533066
round_3,phase2,20,0,D1_2,0,0.7370926052571063,2.131629932037579e-05,0.26288607844357154
round_3,phase1,20,0,D1_2,1,0.026244377689111118,0.9567065270981682,0.017049095212717722
round_2,phase3,20,0,D1_2,0,0.9999440079789553,3.1970362853152195e-08,5.596005068298467e-05
round_2,phase2,20,0,D1_2,1,0.15791619463716394,0.42470654057478474,0.417377264788051
round_2,phase1,20,0,D1_2,2,1.8908330323331546e-05,3.037944029085858e-10,0.9999810913658799
round_4,phase3,20,0,D1_2,0,0.8959700586580129,0.005095635455264495,0.0989343058867222
round_4,phase2,20,0,D1_2,0,0.8275903259846769,0.0008466174068766769,0.17156305660844512
round_4,phase1,20,0,D1_2,1,0.006041942083509812,0.9937014841619071,0.0002565737545847169
round_1,phase3,20,0,D1_2,1,0.01708117373994685,0.877047429263727,0.10587139699632538
round_1,phase2,20,0,D1_2,2,1.054345446573152e-08,2.01182443360751e-06,0.9999979776321113
round_1,phase1,20,0,D1_2,2,0.0046721796639724155,1.644171395908548e-10,0.9953278201716106
round_3,phase3,21,1,D1_3,1,0.3246337963161926,0.6710093404720323,0.004356863211774863
round_3,phase2,21,1,D1_3,0,0.5938229494791893,0.39462893477006533,0.011548115750743545
round_3,phase1,21,1,D1_3,0,0.9974039329465411,5.669984069085017e-05,0.0025393672127665525
round_2,phase3,21,1,D1_3,1,0.002123737268366012,0.984176903586885,0.013699359144750137
round_2,phase2,21,1,D1_3,1,0.0824102367813584,0.8898769689686012,0.027712794250040758
round_2,phase1,21,1,D1_3,1,0.0004025157663677974,0.9995383955134968,5.908872013679446e-05
round_4,phase3,21,1,D1_3,0,0.9986771209691403,0.0009999656640727187,0.0003229133667864835
round_4,phase2,21,1,D1_3,0,0.9232778191560211,0.025921398753167346,0.050800782090810695
